lemmatize_data,translate_data,sentimen
bandung saja mengatasi banjir beliau gubernur jawa barat pindah kawasan banjir,"bandung alone overcomes flooding, the governor of west java moves to a flood-prone area",Netral
pilih ridwan kamil taman kaya gubernur ruang terbuka publik hijau dijadikan lahan komersial jijik,choose ridwan kamil rich park governor green public open space turned into commercial land disgusting,Negatif
dharma menarik ridwan kamil,dharma attracts ridwan kamil,Netral
ridwan kamil jalan dharma pongrekun COVID-19 agenda elit global dirancang faktanya,ridwan kamil jalan dharma pongrekun covid-19 global elite agenda designed in fact,Netral
berkaca pemilihan presiden rekam jejak kepemimpinan jawa barat semoga warga jakarta betawi cerdas memilih terpesona rangkaian utarakan pasangan calon satu,"reflecting on the presidential election, the track record of west java's leadership, hopefully the people of jakarta and betawi will be smart in choosing, fascinated by the series of statements by the candidate pair, one",Positif
pilih rido,choose rido,Netral
lucu acara satu,funny event one,Positif
fiks satu jakarta the terbaik,fix one jakarta the best,Positif
solusi pasangan rido satu membebani negara subsidi tiga lengkap solusinya dua rakyat jakarta makmur sejahtera pilih satu,rido's couple solution one burdens the state with subsidies three complete solutions two prosperous jakarta people choose one,Positif
pramono rano daerah khusus ibukota satu daerah khusus ibukota dua,pramono rano special capital region one special capital region two,Positif
dana rukun warga dicairkan pelaku lurah camat ditangkap komisi pemberantas korupsi janji ridwan kamil diuji,"community association funds disbursed, perpetrators of sub-district head arrested by corruption eradication commission, ridwan kamil's promise tested",Netral
ridwan kamil masuk akal,ridwan kamil makes sense,Netral
bismillah warga daerah khusus ibukota asli sunda jawa barat memilih dharma kun beliau orang jujur berani petugas partai petugas rakyat,"bismillah, the residents of the special capital region of west java, the sundanese people of west java, chose dharma kun, he is an honest and brave person, a party official, a people's official",Positif
rido adem tenang senang lihatnya,rido cool calm happy to see it,Positif
satu koalisi gemuk rawan bagi-bagi kue mandiri saja tercekik partai dharma kun,one fat coalition is vulnerable to dividing up the independent cake and being strangled by the dharma kun party,Negatif
pasangan calon satu tiga terpilih beranikah melawan oligarki kebijakan merugikan rakyat diam takut uang terpilih boneka sutradara benar-benar pemimpin sejati pemimpin formal saja pemimpin sejati sutradara faktanya,candidate pair one three elected dare to fight oligarchy policies that harm the people are silent afraid of money elected puppet director is really a true leader formal leader only real leader director in fact,Negatif
rakyat jakarta cerdas tau pilihan pasangan calon satu tiga boneka sutradara sehebat apapun boneka sutradara berani melawan sutradara nyawa menghilang jakarta cerdas rakyat pilih pemimpin benar-benar takut tuhan membela rakyat membela uang membela oligarki cerdaslah jakarta disediakan pemimpin benar-benar membela rakyatnya,smart jakarta people know the choice of candidate pairs one three director dolls no matter how great the director dolls dare to fight the director lives disappear smart jakarta people choose a leader who is truly afraid of god defends the people defends money defends the oligarchy smart jakarta is provided with a leader who truly defends his people,Positif
nomor satu presiden terpilih apa-apa utamakan bantu tertawa lucu,number one president elect whatever prioritize help laugh funny,Positif
nomor satu kaya malam jual visi iming,number one rich night selling vision lure,Positif
tuan pramono abang doel bagus jawa barat kamil berubahnya signifikan mohon maaf,"mr. pramono, brother doel, is good, west java, kamil, the changes are significant, i apologize",Positif
nomor satu bagusnya gubernur selesai mengundurkan jawa barat selesai nomor dua berkorban idealis mandiri pernyataannya butuh mencerna seksama orang dengar pernyatannya pemikirannya patut coba beban partai wajar saja gugup awas mengikuti kaya nomor tiga bagus sosoknya gagasan bagus sayangnya pendukungnya sih takutnya perjalanan,number one it's good the governor has finished resigning west java is finished number two sacrifice idealist independent his statement needs to be digested carefully people listen to his statement his thinking is worth trying the burden of the party it's natural to be nervous be careful following rich number three good figure good ideas unfortunately his supporters are afraid of the journey,Positif
calon pemimpin suka berandai andai berkhayal tuan kamil tertawa indak jawa barat program selesai tuan ayo warga jakarta pilih calon pemimpin bijak lihat rekam jejaknya,"the prospective leader likes to imagine if he were imagining, mr. kamil laughed, west java, the program is finished, sir, come on, jakarta residents, choose a wise prospective leader, look at his track record",Positif
terkait gender melayang jawabannya ridwan kamil,related to gender floating the answer is ridwan kamil,Netral
maaf kamil orang jawa barat jawa barat menjabat dampak nya,"sorry kamil is a west javanese person, west java is in office, the impact is",Negatif
semoga nomor satu menang,hopefully number one wins,Positif
program nya satu lurah sejahtera,the program is one prosperous village head,Netral
nomor satu lancar jaya teks menyala,number one smooth running text lights up,Positif
ah mengkhayal pasangan rido orang-orang kerja selatan tinggal selatan kantornya barat,ah dreaming of a couple of people working south living south their office is west,Netral
ridwan kamil tamak kekuasaan,ridwan kamil is greedy for power,Netral
satu miliar satu rukun warga ya kaya orang indonesia saja korupsi,"one billion one citizen unit, yes, even indonesians are corrupt",Negatif
warga jawa barat ridwan kamil pengaruh gubernur bandingkan sih doel gubernur banten kemarin mengapai saja dibandingkan anies gubernur jakarta disamakan jawa barat banten luas dana dialihkan COVID-19 tiga kemarin diakui ridwan kamil urusan selesai anggaran jawa barat luasnya kali penduduk jakarta cuman satu total anggaran jakarta anies bagus ya anggarannya ditambah anggaran pendapatan belanja negara negara fair bandingkan ridwan kamil sih doel pengalaman gubernur urusan kota kabupaten ya protesnya wali kota bupati gubernur,west java residents ridwan kamil influence of the governor compare sih doel governor of banten yesterday why compared to anies governor of jakarta equated west java banten area funds diverted covid-19 three yesterday admitted ridwan kamil finished affairs west java budget area times jakarta population only one total jakarta budget anies good yes budget plus state revenue and expenditure budget fair compare ridwan kamil sih doel experience governor affairs city district yes protest mayor regent governor,Positif
ridwan kamil enak didengar,ridwan kamil is nice to hear,Positif
gubernur daerah khusus ibukota memfasiitasi warga satu balai warga kegiatan sanggar seni sanggar adat pernikahan lain-lain daerah padat rumah penduduknya memiliki kemampuan biaya acara pernikahan dua internet gratis jakarta wifi mendukung kegiatannya belajar mengajar tiga kegiatan edukasi mengelola limbah plastik nilai ekonomis terpenting meningkatkan kualitas masyarakat formal,the governor of the special capital region facilitates residents one community hall art studio activities traditional wedding studios others densely populated areas have the ability to pay for wedding events two free internet jakarta wifi supports teaching and learning activities three educational activities managing plastic waste the most important economic value is improving the quality of formal society,Positif
tolong prabowo ridwan kamil level mentri loh,"please, prabowo ridwan kamil, ministerial level, okay?",Positif
gue percaya ridwan kamil,i believe in ridwan kamil,Netral
warga jakarta logika ridwan kamil mengatasi macet sungai jalan lintasi sungai omong-omong pendangkalan banjir sampah kali sungai saja terselesaikan,"jakarta residents, ridwan kamil's logic in overcoming traffic jams, rivers, roads across rivers, by the way, shallowing of floods, garbage, rivers, can be resolved",Netral
ridwan kamil keren sih kesannya meremehkan jakarta rumit,"ridwan kamil is cool, he seems to underestimate the complexity of jakarta",Positif
kenyataannya gaji guru honor depok jawa barat dibayar dua juta upah minimum provinsi jawa barat mendekati angka juta guru kesejahteraannya menindas silakan survei,"in reality, the salary of honorary teachers in depok, west java is paid two million, the minimum wage for west java province is approaching the million mark, the welfare of teachers is oppressive, please do a survey",Netral
tema populasi pasangan calon satu dua menyambung banget kecuali pasangan calon tiga,the population theme of candidate pairs one and two are very connected except for candidate pair three,Positif
tempatku jampang surade jawa barat mempersulit kartu tanda penduduk cepat menyuap menyuap tiga minggu,my place jampang surade west java makes it difficult to get a resident card quickly bribe bribe three weeks,Negatif
pengalaman acara debat tuan kamil ketenangan kejelasan linguistiknya bagus ya ya,"mr. kamil's debate event experience, the calmness of the linguistic clarity is good, yes, yes",Positif
nomor satu partai satu gerbong banget melayani partai rakyat jakarta,number one party one carriage really serving the people's party of jakarta,Positif
persatuan sepak bola indonesia bandung masuk wilayah persatuan sepak bola indonesia jakarta,the indonesian football association bandung is part of the indonesian football association jakarta area,Netral
rido ketentuan allah subhanahu wa `` taala,please the provisions of allah subhanahu wa `` taala,Netral
calon gubernur nomor satu tiga visi misinya merakyat program elite,gubernatorial candidate number one three vision and mission is to reach the people elite program,Netral
darmakun daerah khusus ibukota satu,special capital region one,Positif
pasangan calon satu tiga amanah mulyono,candidate pair one three amanah mulyono,Netral
cerdas nomor satu jakarta butuh pemimpin cerdas,smart number one jakarta needs a smart leader,Positif
menang menang dipilih partai didukung keluarga mulyono geng ridwan kamil malas memilih,"win win chosen by the party supported by the mulyono family, ridwan kamil's gang, lazy to vote",Positif
nya ridwan kamil memimpin ketimbang nomor dua nomor tiga,ridwan kamil is leading rather than number two and number three,Netral
pramono doel oke kamil mengakui,pramono doel admits okay kamil admits,Positif
ridwan kamil terbaik,ridwan kamil is the best,Positif
pasangan calon satu tiga oke pasangan calon dua mengaco,candidate pair one three okay candidate pair two is confusing,Positif
pasangan calon nomor satu jawabannya normatif kadang diawang² susah direalisasikan,"candidate pair number one's answer is normative, sometimes it's surreal, but hard to realize",Negatif
nomor dua menampak kelinci percobaan koalisi indonesia maju ridwan kamil lawan kotak kosong memutuskan partai demokrasi indonesia perjuangan usung,number two appears guinea pig coalition indonesia forward ridwan kamil against empty box decides the party of indonesian democracy struggle to carry,Negatif
si doel mengena heran si doel saja dijadikan calon jakarta satu tuan pramono wakilnya saja,"si doel is surprised that si doel was made a candidate for jakarta satu, tuan pramono is his deputy",Positif
jakarta maju tangan ridwan kamil,"jakarta, move forward, ridwan kamil's hand",Netral
rido berlian realistis,realistic diamond rido,Positif
nomor satu boneka nomor tiga boneka,number one doll number three doll,Netral
nomor dua lawan satu terkesan melawan kotak kosong dua dimainkan perubahan tiga,number two against one impressed against empty box two played change three,Positif
ridwan kamil menawarkan uang terjebak ala makan siang gratis,ridwan kamil offers money trapped in a free lunch style,Positif
nomor satu prestasi penghargaan kekurangan gubernur jawa barat bismillah bagus,number one achievement award shortcomings governor of west java bismillah good,Positif
warga jawa barat mendukung nomor tiga,west java residents support number three,Netral
ridwan kamil the terbaik,ridwan kamil the best,Positif
nomor satu sejalan presiden terpilih nomor dua sejalan pasangan calon nomor tiga dinamakan politik perbedaan eksekutif legislatif yudikatif,"number one in line with the elected president number two in line with the candidate pair number three is called the politics of differences between the executive, legislative and judiciary",Netral
alhamdulillah jakarta ridwan kamil tuan dedi mulyadi gubernur jawa barat ahli mengomong saja ridwan kamil semenjak gubernur jawa barat sukabumi kagak maju pemutusan hubungan kerja pabrik sukabumi kaya gubernur,"thank god jakarta ridwan kamil, mr. dedi mulyadi, the governor of west java, is an expert at talking, ridwan kamil, since the governor of west java, sukabumi has not made any progress in terminating employment in sukabumi factories like the governor",Netral
sakit menusuk hidung stres ketakutan meninggal tergeletak jalan isolasi kakak gue percaya COVID-19 flu batuk cek positif gue masker satu rumah kakak gue gue tertular zaman COVID-19 gue sehat,"nose piercing pain, stress, fear of dying, lying on the road, isolation, my sister believes in covid-19, flu, cough, check is positive, i have a mask, one house, my sister, i got infected during covid-19, i'm healthy",Positif
nomor satu mantap,number one is great,Positif
penutupan pernyataan ridwan kamil provokatif maksudnya calon koalisi koalisi indonesia maju kesulitan transfer dana daerah kesetaraan hubungan pusat sialan politik indonesia,"closing of ridwan kamil's provocative statement, meaning the coalition candidate, the advanced indonesia coalition, difficulties in transferring regional funds, equality, relations with the center, damn indonesian politics",Positif
jawa barat khusus nya majalengka kartu tanda penduduk saja bayar,"west java, especially majalengka, just pay for your id card",Netral
calon wakil gubernur dua kebudayaan jawabannya bagus budaya tanamkan aminkan nomor satu nomor tiga,candidate for deputy governor two cultures good answer culture instill amen number one number three,Positif
satu pasangan rido,one couple of consent,Netral
apa-apa menjilat satu isinya oligarki boneka mulyono,whatever licking one of its contents oligarchy puppet mulyono,Netral
satu program2nya oke tinggal realisasinya terlaksana omong-omong,"one program is okay, just waiting for the implementation to be carried out, by the way",Positif
suswono lambat,suswono is slow,Negatif
prediksi urutan perolehan suara ridwan kamil satu pramono tiga dharma satu catat,prediction of the order of vote acquisition ridwan kamil one pramono three dharma one note,Netral
dana kampanye satu bayar survei,campaign fund one pay survey,Netral
kamil mengapai modal doktrin saja,kamil only reaches for doctrinal capital,Netral
nomor satu menyala,number one is on,Netral
orang jakarta suka debat ketiga pasangan calon visi misinya mudah dipahami ridwan kamil rido nomor dua maksudnya peradaban paham kaum generasi saja nomor tiga menekankan politik identitas,"jakarta people like to debate the three candidate pairs, their vision and mission are easy to understand, ridwan kamil rido, number two means civilization, understanding only the generation, number three emphasizes identity politics",Positif
bersaing debat anies sesuai debatnya ridwan kamil,compete in the debate between anies and ridwan kamil,Netral
love dharma pongrekun kun wardana semoga izin tuhan menang satu putaran gubernur daerah khusus jakarta jalur mandiri,love dharma pongrekun kun wardana hopefully god willing win one round of the governor of the special region of jakarta independent route,Positif
rido satu,one and only,Netral
satu tiga mengomong nya anggaran anggaran,one three talk about the budget,Netral
hiraukan warga jawa barat mendukung nomor satu tanda orang pilih pakai ridwan kamil pemilihan gubernur jawa barat periode periode,ignore the people of west java support number one sign people choose to use ridwan kamil for the west java gubernatorial election period period,Netral
ridwan kamil the terbaik,ridwan kamil the best,Positif
cerdas calon satu salam warga bengkulu,smart candidate one greeting bengkulu residents,Positif
ketiga calon pilihan kecuali pasangan calon nomor satu salam pakai ridwan kamil tercinta semoga terpilih izin rido allah amin,"the three chosen candidates except for candidate pair number one, greetings from beloved ridwan kamil, may you be chosen with the permission of allah, amen",Positif
lucu pasangan calon satu orang bandung paham kebutuhan kondisi jakarta pasangan calon dua kemarin skandal menimpa pasangan calon tiga mohon maaf petugas partai latar memimpin rano karno lihat banten perubahan signifikan pemilihan presiden kemarin bulat mendukung prabowo pendukung jokowi memilih ridwan kamil beliau koalisi koalisi indonesia maju tunggu batas lihat memegang jakarta memegang jakarta berdampak sepuluh juta warga jakarta juta warga jakarta bogor depok tangerang bekasi,funny candidate pair one person bandung understands the needs of jakarta conditions candidate pair two yesterday scandal hit candidate pair three apologize party officials background lead rano karno see banten significant changes yesterday's presidential election unanimously support prabowo supporters jokowi choose ridwan kamil he coalition coalition indonesia forward wait limit see holding jakarta holding jakarta impact ten million jakarta residents million jakarta residents bogor depok tangerang bekasi,Positif
ridwan kamil modal omong doang uang uang menutupi aib kasihan,"ridwan kamil is just talking about money, money covers up shame, pity",Negatif
nomor satu cerdas santai tenang,number one smart relaxed calm,Positif
ridwan kamil membereskan jawa barat,ridwan kamil cleans up west java,Netral
satu janji manis kaya jawa barat,one sweet promise rich west java,Positif
kamil,kamil,Netral
saja kaya ridwan kamil,just like ridwan kamil,Netral
ridwan kamil ya menang auranya,"ridwan kamil, his aura is winning",Positif
ridwan kamil lupa salah persatuan sepak bola indonesia jakarta fan,ridwan kamil forgot one of the indonesian football association jakarta fans,Netral
warga jawa barat muak muka orang sesuai omongannya gubernur jawa barat nyalon gubernur jakarta pilih orang jawa barat,"west java residents are fed up with people's faces according to their words, the governor of west java is running for governor of jakarta, choose a person from west java",Netral
saja kali muak ridwan kamil nyalon menang coba lihat cermin muak lihat muka,"if ridwan kamil is sick of winning the election, try looking in the mirror and get sick of seeing your face.",Negatif
kaca rumah abang bangga dipimpin ridwan kamil tertawa,the glass of the proud brother's house led by ridwan kamil laughed,Positif
laksanakan dharma pemimpin hebat bawahan sutradara bawahan globalisasi ujung-ujungnya rakyat tumbal pilih pemimpin patuh tuhan patuh uang sutradara pilih satu tiga mental takut uang nasib rakyat tumbal calon kebanggaan ilusi boneka sutradara patuh uang,carry out the dharma of a great leader subordinates director subordinates globalization in the end the people are sacrificed choose a leader obey god obey money director choose one three mentality fear money fate of the people sacrificed candidate pride illusion puppet director obey money,Positif
polymerase chain reaction test virus salah satu alat tes virus,polymerase chain reaction test virus one of the virus test tools,Netral
kerja laboratorium polymerase chain reaction test salah satu alat tes virus,polymerase chain reaction test laboratory work one of the virus test tools,Netral
nomor dua boneka kartu tanda penduduk masyarakat jakarta mencuri pilih mandiri kaya satu dua saja nomor tiga jakarta menyala,number two jakarta residents' identity card doll steals choose independent rich one or two only number three jakarta lights up,Positif
satu tiga,one three,Netral
pengalaman debat tuan kamil berpengalaman ketenangan kemampuan eksposisi linguistik beliau ragu,"mr. kamil's debate experience is experienced, his calm linguistic exposition skills are doubtful",Positif
pilih ridwan kamil nomor satu daerah khusus jakarta satu pemimpin hebat pengalaman mengurus kota menjabat gubernur jawa barat wilayahnya luas visi misi nya menarik muluk-muluk nyata realisasi nya lulusan arsitek beliau menata jakarta mendesak kerjakan,"choose ridwan kamil, number one in the special region of jakarta, a great leader with experience in managing a city, serving as governor of west java, his territory is broad, his vision and mission are interesting, ambitious, his realization is real, he is an architect graduate, he is organizing jakarta, he is urgently needed to do it",Positif
hebat dharma kamil meremehkan debat,great dharma kamil belittles debate,Positif
ridwan kamil berkelas,classy ridwan kamil,Positif
mengatasi problematika kemacetan satu kawasan pusat bisnis wilayah satu kantor saja isi karyawan nya daerah jakarta bogor depok tangerang bekasi dua adab antre mengubah menambah orang antre tuan kekurangan kuota transportasi tiga berfokus transjakarta saja transjabodetabek logis faktanya orang membawa kendaraan pribadi jakarta rata-rata jakarta fiks nomor tiga paham problematika jakarta,"overcome the problem of traffic jams in one central business district, one office only, fill it with employees, jakarta, bogor, depok, tangerang, bekasi, two, queuing manners, change, add people to the queue, sir, lack of transportation quota, three, focus on transjakarta only, transjabodetabek, logical, in fact, people bring private vehicles, jakarta, on average, jakarta is fixed, number three, understand the problems of jakarta",Positif
nomor satu gimmick ya seru sih cuman eksistensi debat sengit saja kelemahannya beliau diamanatkan partai aspirasi masyarakat dipedulikan konteks balas budi lumrah politik menggeneralisasi dinamis,"number one gimmick yes it's exciting but the existence of a fierce debate is the weakness, he was given the mandate by the party, the aspirations of the people were cared for, the context of gratitude was common, politics was generalizing dynamically",Netral
nomor satu tiga aktor belakangnya,number one three actors behind him,Negatif
ridwan kamil cerdas,ridwan kamil is smart,Positif
ridwan kamil mantap,ridwan kamil is great,Positif
kampanye pemilihan presiden satu coba pasangan calon pakai pemuja vaksin,presidential election campaign one try candidate pair use vaccine worshippers,Netral
ridwan kamil pemenang debat insyaallah pemenang gubernur jakarta amin,"ridwan kamil, the winner of the debate, god willing, will be the winner of the jakarta governor election, amen",Positif
menang ridwan kamil mimpi tertawa partai menang warga jakarta tipe gampang menyuap bantuan sosial,"ridwan kamil wins, dreams of laughing, winning party, jakarta residents, easy type to bribe social assistance",Positif
ridwan kamil sekeluarga memilih tertawa,ridwan kamil and his family chose to laugh,Positif
nomor tiga memimpin jakarta ketimbang nomor dua satu,number three leads jakarta than number two one,Netral
jawa barat ya tuan,"west java, sir",Netral
satu musuh jekmania,one enemy of jekmania,Netral
nomor satu kepala uang saja,number one money head only,Netral
ridwan kamil pembantu,ridwan kamil assistant,Netral
ridwan kamil kebanyakan gimmick,ridwan kamil is mostly a gimmick,Positif
ya ridwan kamil pengikutnya,yes ridwan kamil his followers,Netral
ridwan kamil mantap,ridwan kamil is great,Positif
ridwan kamil benaran wali kota benaran gubernur benaran insinyur,"ridwan kamil is a real mayor, a real governor, a real engineer",Positif
pilih nomor dua mandiri pilih satu tiga saja apa-apa susah mah,"choose number two independently choose one or three only, nothing is difficult",Negatif
jawa barat saja cekatan pindah jakarta,west java is agile enough to move to jakarta,Positif
semoga ridwan kamil lulus gubernur jakarta presiden republik indonesia,hopefully ridwan kamil passes the governor of jakarta president of the republic of indonesia,Netral
maaf tuan ridwan jawa barat saja dampak urus kartu tanda penduduk daerah cirebon saja susah,"sorry, mr. ridwan, west java alone, the impact of processing a resident identity card in the cirebon area is difficult",Negatif
ridwan kamil menang anies anak abah prabowo mendukung menang ridwan kamil kasih uang tujuh juta,"ridwan kamil wins, anies, prabowo's father's son supports ridwan kamil's victory, gives him seven million rupiah",Positif
bandung jawa barat pengaruhnya tuan taman kecantikannya merawat macet parah kerajinannya maket sketsa saja,"bandung west java, the influence of the master of the park, its beauty, its maintenance, its traffic jams, its crafts, its just a sketch model",Netral
nomor urut dua ber kekuatan ber niat calon gubernur jakarta bertugas memecahkan suara satu tiga,"number two has the power to intend to be a candidate for governor of jakarta, tasked with breaking the one to three vote gap",Netral
pasangan calon nomor satu bagus pasangan calon nomor tiga pemenang berantas judi daring perusak generasi saja,"candidate pair number one is good candidate pair number three is the winner, eradicate online gambling, it just destroys the generation",Positif
